1,Pause Gameplay,General,N/A,1
2,Save Progress,General,N/A,1
3,Tutorials,General,N/A,1
4,Difficulty Options,General,N/A,1
5,Fixed Save Points,General,N/A,1
6,Volume Controls,Auditory,N/A,1
7,Contrast Settings,Visual,N/A,1
8,Controller Customization,Fine motor,N/A,1
9,Partial,Fine motor,N/A,1
10,Keyboard Rebinding,Fine motor,N/A,1
11,Mouse Rebinding,Fine motor,N/A,1
12,Sticks,Fine motor,N/A,1
13,Buttons,Fine motor,N/A,1
14,Multiplayer Only,General,N/A,2
15,Internet Connection Required,General,N/A,2
16,Tutorials,General,N/A,2
17,Volume Controls,Auditory,N/A,2
18,Subtitles,Auditory,N/A,2
19,Resizable,Auditory,N/A,2
20,Contrast Settings,Visual,N/A,2
21,Colorblind Filters,Color,N/A,2
22,Controller Customization,Fine motor,N/A,2
23,Pause Gameplay,General,N/A,3
24,Tutorials,General,N/A,3
25,Difficulty Options,General,N/A,3
26,Volume Controls,Auditory,N/A,3
27,Pause Gameplay,General,N/A,4
28,Save Progress,General,N/A,4
29,Tutorials,General,N/A,4
30,Difficulty Options,General,N/A,4
31,Volume Controls,Auditory,N/A,4
32,Subtitles,Auditory,N/A,4
33,Resizable,Auditory,N/A,4
34,Contrast Settings,Visual,N/A,4
35,Controller Customization,Fine motor,N/A,4
36,Partial,Fine motor,N/A,4
37,Keyboard Rebinding,Fine motor,N/A,4
38,Mouse Rebinding,Fine motor,N/A,4
39,Sticks,Fine motor,N/A,4
40,Buttons,Fine motor,N/A,4
41,Pause Gameplay,General,N/A,5
42,Save Progress,General,N/A,5
43,Tutorials,General,N/A,5
44,Volume Controls,Auditory,N/A,5
45,Subtitles,Auditory,N/A,5
46,Contrast Settings,Visual,N/A,5
47,Controller Customization,Fine motor,N/A,5
48,Partial,Fine motor,N/A,5
49,Keyboard Rebinding,Fine motor,N/A,5
50,Sticks,Fine motor,N/A,5
51,Buttons,Fine motor,N/A,5
52,Pause Gameplay,General,N/A,6
53,Internet Connection Required,General,N/A,6
54,Save Progress,General,N/A,6
55,Tutorials,General,N/A,6
56,Difficulty Options,General,N/A,6
57,Volume Controls,Auditory,N/A,6
58,Subtitles,Auditory,N/A,6
59,Resizable,Auditory,N/A,6
60,Background,Auditory,N/A,6
61,Contrast Settings,Visual,N/A,6
62,Adjustable Interface Text,Visual,N/A,6
63,Narrator,Visual,N/A,6
64,Colorblind Filters,Color,N/A,6
