game_id,game_rating,gamename,game_release_date,game_cat,game_publisher,game_platforms
1,Mature,Alien Isolation,N/A,"Survival, Horror",N/A,"Xbox Series X, PS4, PC, PS5, Xbox One"
2,N/A,Anthem,N/A,Third-Person Shooter (TPS),N/A,"PS4, Xbox One, PC"
3,N/A,ARK: Survival Evolved,N/A,"Survival, First-Person Shooter (FPS), MMORPG",N/A,"Nintendo Switch, Xbox One, Xbox Series X, PS4, PC, PS5"
4,Mature,Assassin’s Creed Odyssey,N/A,"Action, Adventure, Role-Playing Game (RPG), Open World",N/A,"Xbox One, PS4, PC"
5,Mature,Assassin’s Creed Syndicate,N/A,"Action, Adventure, Stealth",N/A,"PC, PS4, Xbox One"
6,Mature,Assassin’s Creed Valhalla,N/A,"Role-Playing Game (RPG), Action, Adventure, Open World",N/A,"Xbox One, PS4, Xbox Series X, PS5, PC"
7,N/A,ASTRO’S PLAYROOM,N/A,"Adventure, Action",N/A,PS5
8,N/A,Astroneer,N/A,"Adventure, Sandbox",N/A,"PS4, PS5, PC, Nintendo Switch, Xbox One, Xbox Series X"
9,Mature,Back 4 Blood,N/A,First-Person Shooter (FPS),N/A,"PC, PS4, PS5, Xbox One, Xbox Series X"
10,Mature,Battlefield 1,N/A,First-Person Shooter (FPS),N/A,"PS4, Xbox One, PC"
11,Mature,Battlefield Hardline,N/A,First-Person Shooter (FPS),N/A,"Xbox One, PC, PS4"
12,Mature,Battlefield V,N/A,First-Person Shooter (FPS),N/A,"PS4, Xbox One, PC"
13,Mature,Bioshock: The Collection,N/A,First-Person Shooter (FPS),N/A,"Nintendo Switch, PS4, Xbox One, PC"
14,Mature,Bloodborne,N/A,"Role-Playing Game (RPG), Action",N/A,PS4
15,N/A,Concrete Genie,N/A,Adventure,N/A,PS4
16,Mature,Control: Ultimate Edition,N/A,"Action, Adventure, Third-Person Shooter (TPS)",N/A,"PS4, PS5, Xbox One, Xbox Series X"
17,Mature,Crackdown 3,N/A,"Adventure, Action, Third-Person Shooter (TPS)",N/A,"Xbox One, Xbox Series X, PC"
18,N/A,Crash Bandicoot N Sane Trilogy,N/A,Platformer,N/A,PS4
19,Mature,Cyberpunk 2077,N/A,"First-Person Shooter (FPS), Role-Playing Game (RPG), Open World",N/A,"PS4, Xbox One, PC"
20,Mature,Days Gone,N/A,Action,N/A,"PS4, PS5, PC"
21,Mature,DEATH STRANDING DIRECTOR’S CUT,N/A,Action,N/A,PS5
22,Mature,Demon’s Souls,N/A,"Action, Role-Playing Game (RPG)",N/A,PS5
23,N/A,Destiny 2,N/A,First-Person Shooter (FPS),N/A,"Xbox One, PC, PS4"
24,N/A,Destruction AllStars,N/A,Vehicular Combat,N/A,PS5
25,Mature,Detroit: Become Human,N/A,"Action, Adventure",N/A,"PS4, PS5, PC"
26,Mature,Devil May Cry 5,N/A,Action,N/A,"Xbox One, Xbox Series X, PS4, PS5"
27,N/A,DIRT 4,N/A,Racing,N/A,"PS4, Xbox One, PC"
28,N/A,DIRT 5,N/A,Racing,N/A,"PS4, PS5, Xbox One, Xbox Series X, PC"
29,N/A,DIRT Rally,N/A,Racing,N/A,"PS4, Xbox One, PC"
30,N/A,DIRT Rally 2.0,N/A,Racing,N/A,"Xbox One, PC, PS4"
31,Mature,Dishonored 2,N/A,"Action, Adventure, Stealth",N/A,"PS4, PC, PS5, Xbox One, Xbox Series X"
32,Mature,Dishonored Definitive Edition,N/A,First-Person Shooter (FPS),N/A,"PS4, Xbox One, PC"
33,Mature,Dragon Age: Inquisition,N/A,"Open World, Role-Playing Game (RPG)",N/A,"PS4, Xbox One, PC"
34,N/A,Dragon Ball Xenoverse 2,N/A,Fighting,N/A,"Nintendo Switch, PS4, Xbox One"
35,N/A,Dreams,N/A,UGC Game,N/A,PS4
36,Mature,Dungeons & Dragons Dark Alliance,N/A,"Role-Playing Game (RPG), Action",N/A,"Xbox Series X, PC, PS4, PS5, Xbox One"
37,N/A,Entwined,N/A,Music,N/A,"PS4, PS5"
38,N/A,Everybody’s Golf,N/A,Sports Sim,N/A,PS4
39,Mature,Far Cry 6,N/A,First-Person Shooter (FPS),N/A,"PS4, PS5, PC, Xbox One, Xbox Series X"
40,Mature,Far Cry New Dawn,N/A,First-Person Shooter (FPS),N/A,"Xbox One, PC, PS4"
41,N/A,Fe,N/A,Platformer,N/A,"PS4, PS5, Xbox One, Xbox Series X, PC, Nintendo Switch"
42,N/A,Forza Horizon 4,N/A,Racing,N/A,"Xbox One, PC"
43,Mature,Gears 5,N/A,Third-Person Shooter (TPS),N/A,"Xbox One, Xbox Series X, PC"
44,Mature,Gears of War 4,N/A,Third-Person Shooter (TPS),N/A,"PC, Xbox One, Xbox Series X"
45,Mature,Ghosts of Tsushima,N/A,Action,N/A,PS4
46,Mature,Ghosts of Tsushima Directors Cut,N/A,Action,N/A,"PS4, PS5"
47,Mature,God of War (2018),N/A,"Action, Adventure",N/A,"PS4, PS5"
48,Mature,God of War III (Remastered),N/A,"Action, Adventure",N/A,PS4
49,N/A,Gravity Rush 2,N/A,Role-Playing Game (RPG),N/A,PS4
50,N/A,Gravity Rush Remastered,N/A,"Action, Adventure",N/A,PS4
51,N/A,Grid,N/A,Racing,N/A,"PS4, Xbox One, PC"
52,N/A,Hades,N/A,Roguelike,N/A,"PS4, Xbox Series X, PS5, PC, Nintendo Switch, Xbox One"
53,N/A,Halo Wars,N/A,Real-Time Strategy (RTS),N/A,"Xbox Series X, PC"
54,N/A,Halo Wars 2,N/A,Real-Time Strategy (RTS),N/A,"Xbox Series X, PC, Xbox One"
55,N/A,Hell Drivers Super-Earth Ultimate Edition,N/A,Action,N/A,PS4
56,N/A,Immortals Fenyx Rising,N/A,"Action, Adventure",N/A,"PS4, PS5, PC, Nintendo Switch, Xbox One, Xbox Series X"
57,N/A,Journey,N/A,Adventure,N/A,PS4
58,N/A,Kingdom Hearts 3,N/A,"Role-Playing Game (RPG), Action",N/A,"Xbox Series X, PC, PS4, PS5, Xbox One"
